Country/Territory,Year,Population
Algeria,1990,25518074
Algeria,1991,26043729
Algeria,1992,26569383
Algeria,1993,27095038
Algeria,1994,27620693
Algeria,1995,28146348
Algeria,1996,28672002
Algeria,1997,29197657
Algeria,1998,29723312
Algeria,1999,30248966
Algeria,2000,30774621
Algeria,2001,31282793
Algeria,2002,31790966
Algeria,2003,32299138
Algeria,2004,32807310
Algeria,2005,33315482
Algeria,2006,33823655
Algeria,2007,34331827
Algeria,2008,34839999
Algeria,2009,35348172
Algeria,2010,35856344
Algeria,2011,36593706
Algeria,2012,37331068
Algeria,2013,38068430
Algeria,2014,38805792
Algeria,2015,39543154
Algeria,2016,39543154
Algeria,2017,39543154
Algeria,2018,39543154
Algeria,2019,39543154
Argentina,1990,32637657
Argentina,1991,33080969
Argentina,1992,33524280
Argentina,1993,33967592
Argentina,1994,34410904
Argentina,1995,34854216
Argentina,1996,35297527
Argentina,1997,35740839
Argentina,1998,36184151
Argentina,1999,36627462
Argentina,2000,37070774
Argentina,2001,37473709
Argentina,2002,37876644
Argentina,2003,38279579
Argentina,2004,38682514
Argentina,2005,39085448
Argentina,2006,39488383
Argentina,2007,39891318
Argentina,2008,40294253
Argentina,2009,40697188
Argentina,2010,41100123
Argentina,2011,41531511
Argentina,2012,41962900
Argentina,2013,42394288
Argentina,2014,42825677
Argentina,2015,43257065
Argentina,2016,43257065
Argentina,2017,43257065
Argentina,2018,43257065
Argentina,2019,43257065
Australia,1990,17048003
Australia,1991,17244999
Australia,1992,17441995
Australia,1993,17638991
Australia,1994,17835987
Australia,1995,18032983
Australia,1996,18229979
Australia,1997,18426975
Australia,1998,18623971
Australia,1999,18820967
Australia,2000,19017963
Australia,2001,19318084
Australia,2002,19618204
Australia,2003,19918324
Australia,2004,20218445
Australia,2005,20518566
Australia,2006,20818686
Australia,2007,21118806
Australia,2008,21418927
Australia,2009,21719048
Australia,2010,22019168
Australia,2011,22379382
Australia,2012,22739595
Australia,2013,23099809
Australia,2014,23460022
Australia,2015,23820236
Australia,2016,23820236
Australia,2017,23820236
Australia,2018,23820236
Australia,2019,23820236
Bangladesh,1990,107147651
Bangladesh,1991,109352219
Bangladesh,1992,111556786
Bangladesh,1993,113761354
Bangladesh,1994,115965921
Bangladesh,1995,118170489
Bangladesh,1996,120375057
Bangladesh,1997,122579624
Bangladesh,1998,124784192
Bangladesh,1999,126988759
Bangladesh,2000,129193327
Bangladesh,2001,131113108
Bangladesh,2002,133032889
Bangladesh,2003,134952671
Bangladesh,2004,136872452
Bangladesh,2005,138792233
Bangladesh,2006,140712014
Bangladesh,2007,142631795
Bangladesh,2008,144551577
Bangladesh,2009,146471358
Bangladesh,2010,148391139
Bangladesh,2011,150278911
Bangladesh,2012,152166683
Bangladesh,2013,154054456
Bangladesh,2014,155942228
Bangladesh,2015,157830000
Bangladesh,2016,157830000
Bangladesh,2017,157830000
Bangladesh,2018,157830000
Bangladesh,2019,157830000
Belgium,1990,9959560
Belgium,1991,9990038
Belgium,1992,10020517
Belgium,1993,10050995
Belgium,1994,10081473
Belgium,1995,10111952
Belgium,1996,10142430
Belgium,1997,10172908
Belgium,1998,10203386
Belgium,1999,10233865
Belgium,2000,10264343
Belgium,2001,10325703
Belgium,2002,10387064
Belgium,2003,10448424
Belgium,2004,10509785
Belgium,2005,10571145
Belgium,2006,10632505
Belgium,2007,10693866
Belgium,2008,10755226
Belgium,2009,10816587
Belgium,2010,10877947
Belgium,2011,10952018
Belgium,2012,11026089
Belgium,2013,11100161
Belgium,2014,11174232
Belgium,2015,11248303
Belgium,2016,11248303
Belgium,2017,11248303
Belgium,2018,11248303
Belgium,2019,11248303
Brazil,1990,150706446
Brazil,1991,153223173
Brazil,1992,155739901
Brazil,1993,158256628
Brazil,1994,160773356
Brazil,1995,163290083
Brazil,1996,165806810
Brazil,1997,168323538
Brazil,1998,170840265
Brazil,1999,173356993
Brazil,2000,175873720
Brazil,2001,177921697
Brazil,2002,179969674
Brazil,2003,182017652
Brazil,2004,184065629
Brazil,2005,186113606
Brazil,2006,188161583
Brazil,2007,190209560
Brazil,2008,192257538
Brazil,2009,194305515
Brazil,2010,196353492
Brazil,2011,198120435
Brazil,2012,199887377
Brazil,2013,201654320
Brazil,2014,203421262
Brazil,2015,205188205
Brazil,2016,205188205
Brazil,2017,205188205
Brazil,2018,205188205
Brazil,2019,205188205
Canada,1990,27657204
Canada,1991,27959815
Canada,1992,28262426
Canada,1993,28565037
Canada,1994,28867648
Canada,1995,29170258
Canada,1996,29472869
Canada,1997,29775480
Canada,1998,30078091
Canada,1999,30380702
Canada,2000,30683313
Canada,2001,31011323
Canada,2002,31339333
Canada,2003,31667343
Canada,2004,31995353
Canada,2005,32323362
Canada,2006,32651372
Canada,2007,32979382
Canada,2008,33307392
Canada,2009,33635402
Canada,2010,33963412
Canada,2011,34317155
Canada,2012,34670898
Canada,2013,35024640
Canada,2014,35378383
Canada,2015,35732126
Canada,2016,35732126
Canada,2017,35732126
Canada,2018,35732126
Canada,2019,35732126
Chile,1990,13342868
Chile,1991,13543761
Chile,1992,13744654
Chile,1993,13945547
Chile,1994,14146440
Chile,1995,14347334
Chile,1996,14548227
Chile,1997,14749120
Chile,1998,14950013
Chile,1999,15150906
Chile,2000,15351799
Chile,2001,15517035
Chile,2002,15682272
Chile,2003,15847508
Chile,2004,16012744
Chile,2005,16177980
Chile,2006,16343217
Chile,2007,16508453
Chile,2008,16673689
Chile,2009,16838926
Chile,2010,17004162
Chile,2011,17177354
Chile,2012,17350547
Chile,2013,17523739
Chile,2014,17696932
Chile,2015,17870124
Chile,2016,17870124
Chile,2017,17870124
Chile,2018,17870124
Chile,2019,17870124
China,1990,1153704252
China,1991,1164743734
China,1992,1175783215
China,1993,1186822697
China,1994,1197862179
China,1995,1208901660
China,1996,1219941142
China,1997,1230980624
China,1998,1242020106
China,1999,1253059587
China,2000,1264099069
China,2001,1272508299
China,2002,1280917529
China,2003,1289326759
China,2004,1297735989
China,2005,1306145218
China,2006,1314554448
China,2007,1322963678
China,2008,1331372908
China,2009,1339782138
China,2010,1348191368
China,2011,1357296184
China,2012,1366401000
China,2013,1375505816
China,2014,1384610632
China,2015,1393715448
China,2016,1393715448
China,2017,1393715448
China,2018,1393715448
China,2019,1393715448
Colombia,1990,32601393
Colombia,1991,33262767
Colombia,1992,33924141
Colombia,1993,34585516
Colombia,1994,35246890
Colombia,1995,35908264
Colombia,1996,36569638
Colombia,1997,37231012
Colombia,1998,37892387
Colombia,1999,38553761
Colombia,2000,39215135
Colombia,2001,39775232
Colombia,2002,40335330
Colombia,2003,40895427
Colombia,2004,41455524
Colombia,2005,42015622
Colombia,2006,42575719
Colombia,2007,43135816
Colombia,2008,43695913
Colombia,2009,44256011
Colombia,2010,44816108
Colombia,2011,45276832
Colombia,2012,45737556
Colombia,2013,46198280
Colombia,2014,46659004
Colombia,2015,47119728
Colombia,2016,47119728
Colombia,2017,47119728
Colombia,2018,47119728
Colombia,2019,47119728
Ecuador,1990,10449837
Ecuador,1991,10667504
Ecuador,1992,10885171
Ecuador,1993,11102838
Ecuador,1994,11320505
Ecuador,1995,11538172
Ecuador,1996,11755839
Ecuador,1997,11973506
Ecuador,1998,12191173
Ecuador,1999,12408840
Ecuador,2000,12626507
Ecuador,2001,12862815
Ecuador,2002,13099123
Ecuador,2003,13335430
Ecuador,2004,13571738
Ecuador,2005,13808046
Ecuador,2006,14044354
Ecuador,2007,14280662
Ecuador,2008,14516969
Ecuador,2009,14753277
Ecuador,2010,14989585
Ecuador,2011,15230848
Ecuador,2012,15472112
Ecuador,2013,15713375
Ecuador,2014,15954639
Ecuador,2015,16195902
Ecuador,2016,16195902
Ecuador,2017,16195902
Ecuador,2018,16195902
Ecuador,2019,16195902
Egypt,1990,57214630
Egypt,1991,58630304
Egypt,1992,60045978
Egypt,1993,61461652
Egypt,1994,62877326
Egypt,1995,64293000
Egypt,1996,65708675
Egypt,1997,67124349
Egypt,1998,68540023
Egypt,1999,69955697
Egypt,2000,71371371
Egypt,2001,72959475
Egypt,2002,74547579
Egypt,2003,76135684
Egypt,2004,77723788
Egypt,2005,79311892
Egypt,2006,80899996
Egypt,2007,82488100
Egypt,2008,84076205
Egypt,2009,85664309
Egypt,2010,87252413
Egypt,2011,89346690
Egypt,2012,91440967
Egypt,2013,93535245
Egypt,2014,95629522
Egypt,2015,97723799
Egypt,2016,97723799
Egypt,2017,97723799
Egypt,2018,97723799
Egypt,2019,97723799
Ethiopia,1990,47878073
Ethiopia,1991,49793452
Ethiopia,1992,51708832
Ethiopia,1993,53624211
Ethiopia,1994,55539591
Ethiopia,1995,57454970
Ethiopia,1996,59370349
Ethiopia,1997,61285729
Ethiopia,1998,63201108
Ethiopia,1999,65116488
Ethiopia,2000,67031867
Ethiopia,2001,69252459
Ethiopia,2002,71473052
Ethiopia,2003,73693644
Ethiopia,2004,75914237
Ethiopia,2005,78134829
Ethiopia,2006,80355421
Ethiopia,2007,82576014
Ethiopia,2008,84796606
Ethiopia,2009,87017199
Ethiopia,2010,89237791
Ethiopia,2011,91884612
Ethiopia,2012,94531433
Ethiopia,2013,97178253
Ethiopia,2014,99825074
Ethiopia,2015,102471895
Ethiopia,2016,102471895
Ethiopia,2017,102471895
Ethiopia,2018,102471895
Ethiopia,2019,102471895
Fiji,1990,780430
Fiji,1991,785638
Fiji,1992,790846
Fiji,1993,796054
Fiji,1994,801262
Fiji,1995,806470
Fiji,1996,811677
Fiji,1997,816885
Fiji,1998,822093
Fiji,1999,827301
Fiji,2000,832509
Fiji,2001,839775
Fiji,2002,847041
Fiji,2003,854307
Fiji,2004,861573
Fiji,2005,868839
Fiji,2006,876105
Fiji,2007,883371
Fiji,2008,890637
Fiji,2009,897903
Fiji,2010,905169
Fiji,2011,907575
Fiji,2012,909981
Fiji,2013,912388
Fiji,2014,914794
Fiji,2015,917200
Fiji,2016,917200
Fiji,2017,917200
Fiji,2018,917200
Fiji,2019,917200
France,1990,56412897
France,1991,56638153
France,1992,56863408
France,1993,57088664
France,1994,57313919
France,1995,57539175
France,1996,57764431
France,1997,57989686
France,1998,58214942
France,1999,58440197
France,2000,58665453
France,2001,59043364
France,2002,59421276
France,2003,59799187
France,2004,60177099
France,2005,60555010
France,2006,60932921
France,2007,61310833
France,2008,61688744
France,2009,62066656
France,2010,62444567
France,2011,62717607
France,2012,62990648
France,2013,63263688
France,2014,63536729
France,2015,63809769
France,2016,63809769
France,2017,63809769
France,2018,63809769
France,2019,63809769
Germany,1990,79370196
Germany,1991,79588344
Germany,1992,79806492
Germany,1993,80024640
Germany,1994,80242788
Germany,1995,80460936
Germany,1996,80679085
Germany,1997,80897233
Germany,1998,81115381
Germany,1999,81333529
Germany,2000,81551677
Germany,2001,81529018
Germany,2002,81506360
Germany,2003,81483701
Germany,2004,81461042
Germany,2005,81438384
Germany,2006,81415725
Germany,2007,81393066
Germany,2008,81370407
Germany,2009,81347749
Germany,2010,81325090
Germany,2011,81474717
Germany,2012,81624344
Germany,2013,81773972
Germany,2014,81923599
Germany,2015,82073226
Germany,2016,82073226
Germany,2017,82073226
Germany,2018,82073226
Germany,2019,82073226
Greece,1990,10302255
Greece,1991,10375840
Greece,1992,10449426
Greece,1993,10523011
Greece,1994,10596597
Greece,1995,10670182
Greece,1996,10743767
Greece,1997,10817353
Greece,1998,10890938
Greece,1999,10964524
Greece,2000,11038109
Greece,2001,11037676
Greece,2002,11037244
Greece,2003,11036811
Greece,2004,11036379
Greece,2005,11035946
Greece,2006,11035513
Greece,2007,11035081
Greece,2008,11034648
Greece,2009,11034216
Greece,2010,11033783
Greece,2011,10988355
Greece,2012,10942926
Greece,2013,10897498
Greece,2014,10852069
Greece,2015,10806641
Greece,2016,10806641
Greece,2017,10806641
Greece,2018,10806641
Greece,2019,10806641
India,1990,870452165
India,1991,889370316
India,1992,908288467
India,1993,927206618
India,1994,946124769
India,1995,965042920
India,1996,983961071
India,1997,1002879222
India,1998,1021797373
India,1999,1040715524
India,2000,1059633675
India,2001,1077731670
India,2002,1095829664
India,2003,1113927658
India,2004,1132025653
India,2005,1150123648
India,2006,1168221642
India,2007,1186319636
India,2008,1204417631
India,2009,1222515626
India,2010,1240613620
India,2011,1257064197
India,2012,1273514774
India,2013,1289965351
India,2014,1306415928
India,2015,1322866505
India,2016,1322866505
India,2017,1322866505
India,2018,1322866505
India,2019,1322866505
Indonesia,1990,182159874
Indonesia,1991,185351129
Indonesia,1992,188542383
Indonesia,1993,191733638
Indonesia,1994,194924893
Indonesia,1995,198116148
Indonesia,1996,201307402
Indonesia,1997,204498657
Indonesia,1998,207689912
Indonesia,1999,210881166
Indonesia,2000,214072421
Indonesia,2001,217066796
Indonesia,2002,220061171
Indonesia,2003,223055547
Indonesia,2004,226049922
Indonesia,2005,229044297
Indonesia,2006,232038672
Indonesia,2007,235033047
Indonesia,2008,238027423
Indonesia,2009,241021798
Indonesia,2010,244016173
Indonesia,2011,247031332
Indonesia,2012,250046492
Indonesia,2013,253061651
Indonesia,2014,256076811
Indonesia,2015,259091970
Indonesia,2016,259091970
Indonesia,2017,259091970
Indonesia,2018,259091970
Indonesia,2019,259091970
Iran,1990,55793629
Iran,1991,56768704
Iran,1992,57743780
Iran,1993,58718855
Iran,1994,59693931
Iran,1995,60669006
Iran,1996,61644081
Iran,1997,62619157
Iran,1998,63594232
Iran,1999,64569308
Iran,2000,65544383
Iran,2001,66527330
Iran,2002,67510277
Iran,2003,68493225
Iran,2004,69476172
Iran,2005,70459119
Iran,2006,71442066
Iran,2007,72425013
Iran,2008,73407961
Iran,2009,74390908
Iran,2010,75373855
Iran,2011,76657252
Iran,2012,77940649
Iran,2013,79224047
Iran,2014,80507444
Iran,2015,81790841
Iran,2016,81790841
Iran,2017,81790841
Iran,2018,81790841
Iran,2019,81790841
Italy,1990,56756561
Italy,1991,56777545
Italy,1992,56798528
Italy,1993,56819512
Italy,1994,56840495
Italy,1995,56861479
Italy,1996,56882463
Italy,1997,56903446
Italy,1998,56924430
Italy,1999,56945413
Italy,2000,56966397
Italy,2001,57252002
Italy,2002,57537608
Italy,2003,57823213
Italy,2004,58108818
Italy,2005,58394424
Italy,2006,58680029
Italy,2007,58965634
Italy,2008,59251239
Italy,2009,59536845
Italy,2010,59822450
Italy,2011,59904541
Italy,2012,59986632
Italy,2013,60068724
Italy,2014,60150815
Italy,2015,60232906
Italy,2016,60232906
Italy,2017,60232906
Italy,2018,60232906
Italy,2019,60232906
Japan,1990,123686321
Japan,1991,123998075
Japan,1992,124309829
Japan,1993,124621583
Japan,1994,124933337
Japan,1995,125245091
Japan,1996,125556845
Japan,1997,125868599
Japan,1998,126180353
Japan,1999,126492107
Japan,2000,126803861
Japan,2001,126934018
Japan,2002,127064175
Japan,2003,127194332
Japan,2004,127324489
Japan,2005,127454646
Japan,2006,127584803
Japan,2007,127714960
Japan,2008,127845117
Japan,2009,127975274
Japan,2010,128105431
Japan,2011,127934531
Japan,2012,127763632
Japan,2013,127592732
Japan,2014,127421833
Japan,2015,127250933
Japan,2016,127250933
Japan,2017,127250933
Japan,2018,127250933
Japan,2019,127250933
Kenya,1990,23162269
Kenya,1991,23931203
Kenya,1992,24700136
Kenya,1993,25469070
Kenya,1994,26238004
Kenya,1995,27006938
Kenya,1996,27775871
Kenya,1997,28544805
Kenya,1998,29313739
Kenya,1999,30082672
Kenya,2000,30851606
Kenya,2001,31918235
Kenya,2002,32984864
Kenya,2003,34051493
Kenya,2004,35118122
Kenya,2005,36184750
Kenya,2006,37251379
Kenya,2007,38318008
Kenya,2008,39384637
Kenya,2009,40451266
Kenya,2010,41517895
Kenya,2011,42584614
Kenya,2012,43651332
Kenya,2013,44718051
Kenya,2014,45784769
Kenya,2015,46851488
Kenya,2016,46851488
Kenya,2017,46851488
Kenya,2018,46851488
Kenya,2019,46851488
Kiribati,1990,75124
Kiribati,1991,76494
Kiribati,1992,77864
Kiribati,1993,79235
Kiribati,1994,80605
Kiribati,1995,81975
Kiribati,1996,83345
Kiribati,1997,84715
Kiribati,1998,86086
Kiribati,1999,87456
Kiribati,2000,88826
Kiribati,2001,90743
Kiribati,2002,92660
Kiribati,2003,94577
Kiribati,2004,96494
Kiribati,2005,98410
Kiribati,2006,100327
Kiribati,2007,102244
Kiribati,2008,104161
Kiribati,2009,106078
Kiribati,2010,107995
Kiribati,2011,109737
Kiribati,2012,111480
Kiribati,2013,113222
Kiribati,2014,114965
Kiribati,2015,116707
Kiribati,2016,116707
Kiribati,2017,116707
Kiribati,2018,116707
Kiribati,2019,116707
Mexico,1990,81720428
Mexico,1991,83335729
Mexico,1992,84951031
Mexico,1993,86566332
Mexico,1994,88181634
Mexico,1995,89796935
Mexico,1996,91412236
Mexico,1997,93027538
Mexico,1998,94642839
Mexico,1999,96258141
Mexico,2000,97873442
Mexico,2001,99339338
Mexico,2002,100805234
Mexico,2003,102271130
Mexico,2004,103737026
Mexico,2005,105202922
Mexico,2006,106668817
Mexico,2007,108134713
Mexico,2008,109600609
Mexico,2009,111066505
Mexico,2010,112532401
Mexico,2011,114055900
Mexico,2012,115579399
Mexico,2013,117102899
Mexico,2014,118626398
Mexico,2015,120149897
Mexico,2016,120149897
Mexico,2017,120149897
Mexico,2018,120149897
Mexico,2019,120149897
Micronesia,1990,98603
Micronesia,1991,99914
Micronesia,1992,101224
Micronesia,1993,102535
Micronesia,1994,103845
Micronesia,1995,105156
Micronesia,1996,106467
Micronesia,1997,107777
Micronesia,1998,109088
Micronesia,1999,110398
Micronesia,2000,111709
Micronesia,2001,111297
Micronesia,2002,110885
Micronesia,2003,110473
Micronesia,2004,110061
Micronesia,2005,109648
Micronesia,2006,109236
Micronesia,2007,108824
Micronesia,2008,108412
Micronesia,2009,108000
Micronesia,2010,107588
Micronesia,2011,107963
Micronesia,2012,108338
Micronesia,2013,108712
Micronesia,2014,109087
Micronesia,2015,109462
Micronesia,2016,109462
Micronesia,2017,109462
Micronesia,2018,109462
Micronesia,2019,109462
Netherlands,1990,14944548
Netherlands,1991,15040007
Netherlands,1992,15135465
Netherlands,1993,15230924
Netherlands,1994,15326383
Netherlands,1995,15421842
Netherlands,1996,15517300
Netherlands,1997,15612759
Netherlands,1998,15708218
Netherlands,1999,15803676
Netherlands,2000,15899135
Netherlands,2001,15970933
Netherlands,2002,16042731
Netherlands,2003,16114529
Netherlands,2004,16186327
Netherlands,2005,16258126
Netherlands,2006,16329924
Netherlands,2007,16401722
Netherlands,2008,16473520
Netherlands,2009,16545318
Netherlands,2010,16617116
Netherlands,2011,16701914
Netherlands,2012,16786712
Netherlands,2013,16871511
Netherlands,2014,16956309
Netherlands,2015,17041107
Netherlands,2016,17041107
Netherlands,2017,17041107
Netherlands,2018,17041107
Netherlands,2019,17041107
New Zealand,1990,3397389
New Zealand,1991,3443177
New Zealand,1992,3488964
New Zealand,1993,3534752
New Zealand,1994,3580540
New Zealand,1995,3626328
New Zealand,1996,3672115
New Zealand,1997,3717903
New Zealand,1998,3763691
New Zealand,1999,3809478
New Zealand,2000,3855266
New Zealand,2001,3904373
New Zealand,2002,3953480
New Zealand,2003,4002588
New Zealand,2004,4051695
New Zealand,2005,4100802
New Zealand,2006,4149909
New Zealand,2007,4199016
New Zealand,2008,4248124
New Zealand,2009,4297231
New Zealand,2010,4346338
New Zealand,2011,4395188
New Zealand,2012,4444039
New Zealand,2013,4492889
New Zealand,2014,4541740
New Zealand,2015,4590590
New Zealand,2016,4590590
New Zealand,2017,4590590
New Zealand,2018,4590590
New Zealand,2019,4590590
Nigeria,1990,95214257
Nigeria,1991,97978030
Nigeria,1992,100741802
Nigeria,1993,103505575
Nigeria,1994,106269348
Nigeria,1995,109033120
Nigeria,1996,111796893
Nigeria,1997,114560666
Nigeria,1998,117324439
Nigeria,1999,120088211
Nigeria,2000,122851984
Nigeria,2001,126662071
Nigeria,2002,130472158
Nigeria,2003,134282245
Nigeria,2004,138092332
Nigeria,2005,141902418
Nigeria,2006,145712505
Nigeria,2007,149522592
Nigeria,2008,153332679
Nigeria,2009,157142766
Nigeria,2010,160952853
Nigeria,2011,165561439
Nigeria,2012,170170026
Nigeria,2013,174778612
Nigeria,2014,179387199
Nigeria,2015,183995785
Nigeria,2016,183995785
Nigeria,2017,183995785
Nigeria,2018,183995785
Nigeria,2019,183995785
Pakistan,1990,115414069
Pakistan,1991,119309654
Pakistan,1992,123205240
Pakistan,1993,127100826
Pakistan,1994,130996411
Pakistan,1995,134891996
Pakistan,1996,138787582
Pakistan,1997,142683168
Pakistan,1998,146578753
Pakistan,1999,150474338
Pakistan,2000,154369924
Pakistan,2001,158378381
Pakistan,2002,162386839
Pakistan,2003,166395296
Pakistan,2004,170403754
Pakistan,2005,174412211
Pakistan,2006,178420668
Pakistan,2007,182429126
Pakistan,2008,186437583
Pakistan,2009,190446041
Pakistan,2010,194454498
Pakistan,2011,197757458
Pakistan,2012,201060418
Pakistan,2013,204363378
Pakistan,2014,207666338
Pakistan,2015,210969298
Pakistan,2016,210969298
Pakistan,2017,210969298
Pakistan,2018,210969298
Pakistan,2019,210969298
Papua New Guinea,1990,3864972
Papua New Guinea,1991,4029304
Papua New Guinea,1992,4193637
Papua New Guinea,1993,4357970
Papua New Guinea,1994,4522302
Papua New Guinea,1995,4686634
Papua New Guinea,1996,4850967
Papua New Guinea,1997,5015300
Papua New Guinea,1998,5179632
Papua New Guinea,1999,5343964
Papua New Guinea,2000,5508297
Papua New Guinea,2001,5715794
Papua New Guinea,2002,5923291
Papua New Guinea,2003,6130789
Papua New Guinea,2004,6338286
Papua New Guinea,2005,6545783
Papua New Guinea,2006,6753280
Papua New Guinea,2007,6960777
Papua New Guinea,2008,7168275
Papua New Guinea,2009,7375772
Papua New Guinea,2010,7583269
Papua New Guinea,2011,7803050
Papua New Guinea,2012,8022831
Papua New Guinea,2013,8242612
Papua New Guinea,2014,8462393
Papua New Guinea,2015,8682174
Papua New Guinea,2016,8682174
Papua New Guinea,2017,8682174
Papua New Guinea,2018,8682174
Papua New Guinea,2019,8682174
Peru,1990,22109099
Peru,1991,22563633
Peru,1992,23018167
Peru,1993,23472701
Peru,1994,23927235
Peru,1995,24381769
Peru,1996,24836303
Peru,1997,25290837
Peru,1998,25745371
Peru,1999,26199905
Peru,2000,26654439
Peru,2001,26911952
Peru,2002,27169466
Peru,2003,27426979
Peru,2004,27684492
Peru,2005,27942006
Peru,2006,28199519
Peru,2007,28457032
Peru,2008,28714545
Peru,2009,28972059
Peru,2010,29229572
Peru,2011,29526030
Peru,2012,29822488
Peru,2013,30118947
Peru,2014,30415405
Peru,2015,30711863
Peru,2016,30711863
Peru,2017,30711863
Peru,2018,30711863
Peru,2019,30711863
Poland,1990,38064255
Poland,1991,38108273
Poland,1992,38152290
Poland,1993,38196308
Poland,1994,38240325
Poland,1995,38284343
Poland,1996,38328361
Poland,1997,38372378
Poland,1998,38416396
Poland,1999,38460413
Poland,2000,38504431
Poland,2001,38513723
Poland,2002,38523015
Poland,2003,38532308
Poland,2004,38541600
Poland,2005,38550892
Poland,2006,38560184
Poland,2007,38569476
Poland,2008,38578769
Poland,2009,38588061
Poland,2010,38597353
Poland,2011,38588512
Poland,2012,38579670
Poland,2013,38570829
Poland,2014,38561987
Poland,2015,38553146
Poland,2016,38553146
Poland,2017,38553146
Poland,2018,38553146
Poland,2019,38553146
Portugal,1990,10007346
Portugal,1991,10036674
Portugal,1992,10066002
Portugal,1993,10095330
Portugal,1994,10124658
Portugal,1995,10153986
Portugal,1996,10183314
Portugal,1997,10212642
Portugal,1998,10241970
Portugal,1999,10271298
Portugal,2000,10300626
Portugal,2001,10329404
Portugal,2002,10358181
Portugal,2003,10386958
Portugal,2004,10415736
Portugal,2005,10444514
Portugal,2006,10473291
Portugal,2007,10502068
Portugal,2008,10530846
Portugal,2009,10559624
Portugal,2010,10588401
Portugal,2011,10543808
Portugal,2012,10499215
Portugal,2013,10454621
Portugal,2014,10410028
Portugal,2015,10365435
Portugal,2016,10365435
Portugal,2017,10365435
Portugal,2018,10365435
Portugal,2019,10365435
Russia,1990,148005704
Russia,1991,147889618
Russia,1992,147773531
Russia,1993,147657444
Russia,1994,147541358
Russia,1995,147425272
Russia,1996,147309185
Russia,1997,147193098
Russia,1998,147077012
Russia,1999,146960926
Russia,2000,146844839
Russia,2001,146484615
Russia,2002,146124391
Russia,2003,145764167
Russia,2004,145403943
Russia,2005,145043719
Russia,2006,144683495
Russia,2007,144323271
Russia,2008,143963047
Russia,2009,143602823
Russia,2010,143242599
Russia,2011,143527757
Russia,2012,143812915
Russia,2013,144098073
Russia,2014,144383231
Russia,2015,144668389
Russia,2016,144668389
Russia,2017,144668389
Russia,2018,144668389
Russia,2019,144668389
Samoa,1990,168186
Samoa,1991,169768
Samoa,1992,171350
Samoa,1993,172933
Samoa,1994,174515
Samoa,1995,176097
Samoa,1996,177679
Samoa,1997,179261
Samoa,1998,180844
Samoa,1999,182426
Samoa,2000,184008
Samoa,2001,185074
Samoa,2002,186141
Samoa,2003,187207
Samoa,2004,188274
Samoa,2005,189340
Samoa,2006,190406
Samoa,2007,191473
Samoa,2008,192539
Samoa,2009,193606
Samoa,2010,194672
Samoa,2011,196452
Samoa,2012,198232
Samoa,2013,200011
Samoa,2014,201791
Samoa,2015,203571
Samoa,2016,203571
Samoa,2017,203571
Samoa,2018,203571
Samoa,2019,203571
Solomon Islands,1990,324171
Solomon Islands,1991,334752
Solomon Islands,1992,345332
Solomon Islands,1993,355913
Solomon Islands,1994,366494
Solomon Islands,1995,377074
Solomon Islands,1996,387655
Solomon Islands,1997,398236
Solomon Islands,1998,408817
Solomon Islands,1999,419397
Solomon Islands,2000,429978
Solomon Islands,2001,441020
Solomon Islands,2002,452061
Solomon Islands,2003,463103
Solomon Islands,2004,474144
Solomon Islands,2005,485186
Solomon Islands,2006,496228
Solomon Islands,2007,507269
Solomon Islands,2008,518311
Solomon Islands,2009,529352
Solomon Islands,2010,540394
Solomon Islands,2011,554847
Solomon Islands,2012,569300
Solomon Islands,2013,583754
Solomon Islands,2014,598207
Solomon Islands,2015,612660
Solomon Islands,2016,612660
Solomon Islands,2017,612660
Solomon Islands,2018,612660
Solomon Islands,2019,612660
South Africa,1990,39877570
South Africa,1991,40571140
South Africa,1992,41264709
South Africa,1993,41958279
South Africa,1994,42651848
South Africa,1995,43345418
South Africa,1996,44038988
South Africa,1997,44732557
South Africa,1998,45426127
South Africa,1999,46119696
South Africa,2000,46813266
South Africa,2001,47310432
South Africa,2002,47807597
South Africa,2003,48304762
South Africa,2004,48801928
South Africa,2005,49299094
South Africa,2006,49796259
South Africa,2007,50293424
South Africa,2008,50790590
South Africa,2009,51287756
South Africa,2010,51784921
South Africa,2011,52603238
South Africa,2012,53421554
South Africa,2013,54239871
South Africa,2014,55058187
South Africa,2015,55876504
South Africa,2016,55876504
South Africa,2017,55876504
South Africa,2018,55876504
South Africa,2019,55876504
Spain,1990,38889889
Spain,1991,39075065
Spain,1992,39260241
Spain,1993,39445418
Spain,1994,39630594
Spain,1995,39815770
Spain,1996,40000946
Spain,1997,40186122
Spain,1998,40371299
Spain,1999,40556475
Spain,2000,40741651
Spain,2001,41324763
Spain,2002,41907875
Spain,2003,42490987
Spain,2004,43074099
Spain,2005,43657212
Spain,2006,44240324
Spain,2007,44823436
Spain,2008,45406548
Spain,2009,45989660
Spain,2010,46572772
Spain,2011,46544486
Spain,2012,46516200
Spain,2013,46487914
Spain,2014,46459628
Spain,2015,46431342
Spain,2016,46431342
Spain,2017,46431342
Spain,2018,46431342
