Cause,Climate_Variable,Correlation
Neoplasms,Temperature_C,-0.7344209919960508
Cardiovascular Diseases,Temperature_C,-0.6978891698356384
Parkinson's Disease,Temperature_C,-0.6072204484818838
Alcohol Use Disorders,Temperature_C,-0.5795933946792131
Alzheimer's Disease and Other Dementias,Temperature_C,-0.5650288846041548
Environmental Heat and Cold Exposure,Temperature_C,-0.46943134002049175
Maternal Disorders,Temperature_C,0.4643688289138188
Drowning,Precipitation_mm,0.4603587420711464
Cardiovascular Diseases,Dewpoint_K,-0.4502422564301571
Neonatal Disorders,Temperature_C,0.44721842965421343
Self-harm,Temperature_C,-0.44360184254540735
Alcohol Use Disorders,Dewpoint_K,-0.4421488662373938
Neoplasms,Dewpoint_K,-0.41816093369578416
Diarrheal Diseases,Temperature_C,0.397874098894239
Neonatal Disorders,Surface_Pressure_Pa,-0.3978705659281094
"Fire, Heat, and Hot Substances",Surface_Pressure_Pa,-0.384006007472286
Environmental Heat and Cold Exposure,Dewpoint_K,-0.38285273688856253
Acute Hepatitis,Temperature_C,0.37494551582148605
Drug Use Disorders,Temperature_C,-0.3727668722981601
Digestive Diseases,Surface_Pressure_Pa,0.37055251081615925
Alzheimer's Disease and Other Dementias,Dewpoint_K,-0.3601969820718123
Tuberculosis,Temperature_C,0.35978971047835934
Nutritional Deficiencies,Temperature_C,0.35568871644802724
Protein-Energy Malnutrition,Temperature_C,0.35133159584989815
Diabetes Mellitus,Dewpoint_K,0.3475135571121472
Poisonings,Surface_Pressure_Pa,-0.34707767102074266
Drug Use Disorders,Dewpoint_K,-0.3457050409109556
Maternal Disorders,Dewpoint_K,0.33923222832544986
Maternal Disorders,Surface_Pressure_Pa,-0.33302057099118265
Meningitis,Surface_Pressure_Pa,-0.33261467168683867
Drowning,Dewpoint_K,0.3323860230069216
Parkinson's Disease,Dewpoint_K,-0.32316296343570006
Chronic Respiratory Diseases,Temperature_C,-0.3140608805665236
Maternal Disorders,Precipitation_mm,0.31055376018849745
Meningitis,Temperature_C,0.3086645008558227
HIV/AIDS,Surface_Pressure_Pa,-0.30833809552571256
Lower Respiratory Infections,Precipitation_mm,0.3068952057348773
Chronic Respiratory Diseases,Precipitation_mm,0.30647811085242294
Diabetes Mellitus,Precipitation_mm,0.28974835735232657
